,Date,GDP,Unemp
208,2019-01-01,21013.085,1.9
209,2019-04-01,21272.448,1.7
210,2019-07-01,21531.839,1.7
211,2019-10-01,21706.532,1.7
212,2020-01-01,21538.032,1.6
213,2020-04-01,19636.731,13.2
214,2020-07-01,21362.428,8.1
215,2020-10-01,21704.706,4.8
216,2021-01-01,22313.85,4.3
217,2021-04-01,23046.934,3.9
218,2021-07-01,23550.42,3.0
219,2021-10-01,24349.121,2.3
220,2022-01-01,24740.48,2.0
221,2022-04-01,25248.476,1.7
222,2022-07-01,25723.941,1.6
223,2022-10-01,26137.992,1.6
224,2023-01-01,26529.774,1.5
225,2023-04-01,26798.605,1.6
